"RNR"	"Age_in_Days"	"Mol_Sex"	"Filename"
"ID18_21"	381	"Male"	"ID18_21_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_236"	387	"Male"	"ID18_236_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_19"	387	"Female"	"ID18_19_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_40"	383	"Female"	"ID18_40_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_20"	386	"Male"	"ID18_20_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_41"	382	"Female"	"ID18_41_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_256"	2199	"Male"	"ID18_256_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_22"	382	"Male"	"ID18_22_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_18"	733	"Male"	"ID18_18_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_267"	383	"Male"	"ID18_267_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_288"	735	"Male"	"ID18_288_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_39"	721	"Male"	"ID18_39_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_306"	1473	"Male"	"ID18_306_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_25"	383	"Male"	"ID18_25_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_11"	1069	"Male"	"ID18_11_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_38"	374	"Female"	"ID18_38_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_10"	727	"Female"	"ID18_10_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_35"	349	"Male"	"ID18_35_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_326"	1108	"Male"	"ID18_326_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_8"	1432	"Male"	"ID18_8_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_349"	383	"Male"	"ID18_349_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_26"	385	"Female"	"ID18_26_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_59"	112	"Male"	"ID18_59_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_71"	103	"Female"	"ID18_71_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_72"	91	"Female"	"ID18_72_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_76"	110	"Male"	"ID18_76_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_79"	58	"Female"	"ID18_79_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_82"	52	"Male"	"ID18_82_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_84"	67	"Male"	"ID18_84_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_85"	95	"Female"	"ID18_85_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_89"	107	"Male"	"ID18_89_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_92"	60	"Female"	"ID18_92_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_97"	107	"Female"	"ID18_97_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_102"	67	"Male"	"ID18_102_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_103"	51	"Female"	"ID18_103_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_104"	121	"Male"	"ID18_104_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_105"	58	"Female"	"ID18_105_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_107"	52	"Male"	"ID18_107_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_112"	59	"Male"	"ID18_112_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_114"	59	"Male"	"ID18_114_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_116"	105	"Female"	"ID18_116_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_123"	87	"Male"	"ID18_123_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_126"	101	"Male"	"ID18_126_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_128"	50	"Female"	"ID18_128_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_131"	80	"Female"	"ID18_131_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_132"	52	"Male"	"ID18_132_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
